,I1L_valid,I2L_valid,I1H [nA],I1L [10pA],V1 [10nV],V2 [10nV],I2H [nA],I2L [10pA]
1615674620.023869147,1,1,-51649,401855,-1232125,25801828,123659,-275224
1615674621.027405700,1,1,-51680,532441,-1231634,25804031,125298,-70207
1615674622.030930161,1,1,-47505,603878,-1232125,25803419,125171,9123
1615674623.034470749,1,1,-47252,762523,-1229791,25803541,127408,132726
1615674624.037999992,1,1,-47695,653879,-1230036,25804398,126400,8055
1615674625.041533288,1,1,-49909,387028,-1231879,25802195,124037,-261792
1615674626.045063769,1,1,-49055,547058,-1231757,25803908,125140,-56057
1615674627.048596529,1,1,-49245,751640,-1228807,25802072,110175,-1761006
1615674628.052128038,1,1,-45702,703180,-1230896,25803786,126180,56442
1615674629.055670391,1,1,-49150,618740,-1231142,25803052,126589,-30559
1615674630.059195026,1,1,-49688,462477,-1231634,25801950,126022,-156035
1615674631.062732714,1,1,-46809,551948,-1231265,25802929,124888,-50890
1615674632.066275322,1,1,-46335,831874,-1228562,25805622,129834,243561
1615674633.069800264,1,1,-46240,681746,-1230651,25802929,128480,33921
1615674634.073327815,1,1,-49435,502840,-1231511,25802072,125392,-164983
1615674635.076889235,1,1,-52060,511936,-1231879,25804031,127566,-93515
1615674636.080395786,1,1,-48834,554927,-1230282,25804153,127471,-48894
1615674637.083926411,1,1,-47252,824601,-1229053,25805377,127723,226644
1615674638.087466411,1,1,-43267,901312,-1228930,25804031,128322,29578
1615674639.090988743,1,1,-53103,410618,-1231634,25801828,124352,-267763
1615674640.094533422,1,1,-49245,525413,-1230651,25803052,126274,-76791
1615674641.098057471,1,1,-48043,570192,-1230896,25803052,128070,-31837
1615674642.101584576,1,1,-48359,795192,-1229299,25804398,128354,181603
1615674643.105120763,1,1,-44722,660802,-1230036,25803174,124856,14395
1615674644.108659239,1,1,-51269,374181,-1232248,25802807,126936,-293279
1615674645.112190343,1,1,-50415,538803,-1230896,25802562,123659,-62343
1615674646.115723968,1,1,-48865,628537,-1230282,25804643,126967,39315
1615674647.119254088,1,1,-47790,766221,-1229422,25804643,127188,139013
1615674648.122783957,1,1,-45291,655194,-1228193,25803786,124132,9018
1615674649.126324330,1,1,-54875,-90276,-1232985,25801950,118965,-751857
1615674650.129856113,1,1,-46873,537611,-1230651,25804398,123691,-62676
1615674651.133387018,1,1,-48612,686320,-1229545,25805255,127849,107175
1615674652.136925202,1,1,-45449,743981,-1229176,25804153,127314,111588
1615674653.140451170,1,1,-48169,651023,-1229422,25803419,128165,5884
1615674654.143982876,1,1,-47916,381735,-1231265,25802195,123848,-267080
1615674655.147512483,1,1,-50004,543430,-1229913,25804031,126400,-58053
1615674656.151047459,1,1,-46019,787621,-1228439,25805989,129614,220147
1615674657.154570311,1,1,-46588,714747,-1228685,25804398,125928,74532
1615674658.158112059,1,1,-49435,641559,-1229299,25803786,129362,-4675
1615674659.161649022,1,1,-49814,420099,-1230036,25802929,125014,-209342
1615674660.165188447,1,1,-51522,476218,-1229545,25802929,128038,-142165
1615674661.168709915,1,1,-45576,832382,-1226964,25805989,127566,257659
1615674662.172258953,1,1,-47410,688651,-1229176,25804643,125581,42940
1615674663.175790830,1,1,-49087,566757,-1228807,25804031,125644,-90713
1615674664.179312393,1,1,-48169,494480,-1230282,25803541,124510,-112446
1615674665.182845166,1,1,-46556,552246,-1229791,25804520,125108,-49700
1615674666.186386512,1,1,-45734,825775,-1227456,25806479,128228,225278
1615674667.189908949,1,1,-46303,668584,-1228562,25803786,126778,21207
1615674668.193444193,1,1,-48960,379036,-1231511,25802929,122998,-293191
1615674669.196975504,1,1,-49118,533598,-1229053,25804520,127692,-66126
1615674670.200517420,1,1,-47474,675366,-1228562,25805010,127944,94934
1615674671.204045846,1,1,-44437,747854,-1228685,25804765,128921,90748
1615674672.207584266,1,1,-49308,646185,-1228562,25804153,123754,700
1615674673.211101092,1,1,-49814,425848,-1230651,25803786,124132,-203370
1615674674.214642512,1,1,-48328,547812,-1229053,25805132,125455,-53325
1615674675.218171613,1,1,-46493,830875,-1226350,25806234,128228,243982
1615674676.221704276,1,1,-45797,674735,-1228807,25803786,127912,28947
1615674677.225233427,1,1,-49498,394178,-1230159,25802562,124888,-281265
1615674678.228769962,1,1,-48486,531460,-1228439,25803786,125707,-67037
1615674679.232330404,1,1,-45418,643311,-1227579,25805377,125865,55304
1615674680.235846108,1,1,-45165,739547,-1226596,25805132,126337,105371
1615674681.239375549,1,1,-48676,647675,-1227824,25803786,126337,4220
1615674682.242910447,1,1,-48707,417979,-1228316,25803541,122588,-180867
1615674683.246434517,1,1,-45797,546550,-1228193,25805132,125108,-53605
1615674684.249973980,1,1,-44501,832049,-1226596,25807213,129047,249796
1615674685.253498710,1,1,-45260,677014,-1228070,25802929,126526,31644
1615674686.257032464,1,1,-47062,432367,-1229545,25803541,125171,-242423
1615674687.260559786,1,1,-48992,527324,-1227210,25804398,128038,-73937
1615674688.264102304,1,1,-48138,585773,-1226964,25805010,125676,-11085
1615674689.267632891,1,1,-46303,764889,-1227087,25804765,128165,138557
1615674690.271175308,1,1,-48865,651969,-1227824,25805377,124384,7390
1615674691.274698809,1,1,-50668,386624,-1230036,25804031,123911,-257991
1615674692.278225109,1,1,-50383,383417,-1227702,25805377,122651,-120922
1615674693.281761577,1,1,-44817,854693,-1225121,25806724,127156,287938
1615674694.285303449,1,1,-47632,688318,-1226964,25804153,127566,43010
1615674695.288831267,1,1,-48517,538593,-1228562,25804276,125550,-121413
1615674696.292344231,1,1,-50921,512777,-1227702,25804888,124762,-91484
1615674697.295893911,1,1,-48644,554892,-1227824,25804888,125455,-45707
1615674697.295893911,1,1,-48644,554892,-1227824,25804888,125455,-45707
